rank,freq,zipf
708,8,2.11723
709,8,2.11425
710,8,2.11127
711,8,2.1083
712,8,2.10534
713,8,2.10238
714,8,2.09944
715,8,2.0965
716,8,2.09358
717,8,2.09066
718,8,2.08774
719,8,2.08484
720,8,2.08194
721,8,2.07906
722,8,2.07618
723,8,2.07331
724,8,2.07044
725,8,2.06759
726,8,2.06474
727,8,2.0619
728,8,2.05907
729,8,2.05624
730,8,2.05342
731,8,2.05062
732,8,2.04781
733,8,2.04502
734,8,2.04223
735,8,2.03946
736,8,2.03668
737,8,2.03392
738,8,2.03117
739,8,2.02842
740,8,2.02568
741,8,2.02294
742,8,2.02022
743,8,2.0175
744,8,2.01478
745,8,2.01208
746,8,2.00938
747,8,2.00669
748,8,2.00401
749,8,2.00134
750,8,1.99867
751,8,1.99601
752,8,1.99335
753,8,1.9907
754,8,1.98806
755,8,1.98543
756,8,1.9828
757,8,1.98018
758,8,1.97757
759,8,1.97497
760,8,1.97237
761,8,1.96978
762,8,1.96719
763,8,1.96461
764,8,1.96204
765,8,1.95948
766,8,1.95692
767,8,1.95437
768,8,1.95182
769,8,1.94928
770,7,1.94675
771,7,1.94423
772,7,1.94171
773,7,1.9392
774,7,1.93669
775,7,1.93419
776,7,1.9317
777,7,1.92921
778,7,1.92674
779,7,1.92426
780,7,1.92179
781,7,1.91933
782,7,1.91688
783,7,1.91443
784,7,1.91199
785,7,1.90955
786,7,1.90712
787,7,1.9047
788,7,1.90228
789,7,1.89987
790,7,1.89747
791,7,1.89507
792,7,1.89268
793,7,1.89029
794,7,1.88791
795,7,1.88553
796,7,1.88317
797,7,1.8808
798,7,1.87845
799,7,1.8761
800,7,1.87375
801,7,1.87141
802,7,1.86908
803,7,1.86675
804,7,1.86443
805,7,1.86211
806,7,1.8598
807,7,1.8575
808,7,1.8552
809,7,1.8529
810,7,1.85062
811,7,1.84834
812,7,1.84606
813,7,1.84379
814,7,1.84152
815,7,1.83926
816,7,1.83701
817,7,1.83476
818,7,1.83252
819,7,1.83028
820,7,1.82805
821,7,1.82582
822,7,1.8236
823,7,1.82139
824,7,1.81917
825,7,1.81697
826,7,1.81477
827,7,1.81258
828,7,1.81039
829,7,1.8082
830,7,1.80602
831,7,1.80385
832,7,1.80168
833,7,1.79952
834,7,1.79736
835,7,1.79521
836,7,1.79306
837,7,1.79092
838,7,1.78878
839,7,1.78665
840,7,1.78452
841,7,1.7824
842,7,1.78029
843,7,1.77817
844,7,1.77607
845,7,1.77396
846,7,1.77187
847,7,1.76978
848,7,1.76769
