rank,freq,zipf
955,1002,224.192
956,1002,223.957
957,1002,223.723
958,1002,223.49
959,1002,223.257
960,1002,223.024
961,1002,222.792
962,1002,222.56
963,1002,222.329
964,1002,222.099
965,1002,221.868
966,1002,221.639
967,1002,221.41
968,1002,221.181
969,1002,220.953
970,1002,220.725
971,1002,220.497
972,1002,220.271
973,1002,220.044
974,1002,219.818
975,1002,219.593
976,1002,219.368
977,1002,219.143
978,1002,218.919
979,1002,218.696
980,1002,218.472
981,1002,218.25
982,1002,218.027
983,1002,217.806
984,1001,217.584
985,1001,217.363
986,1001,217.143
987,1001,216.923
988,1001,216.703
989,1001,216.484
990,1001,216.266
991,1001,216.047
992,1001,215.83
993,1001,215.612
994,1001,215.395
995,1001,215.179
996,1001,214.963
997,1001,214.747
998,1001,214.532
999,1001,214.317
1000,1001,214.103
1001,1001,213.889
1002,1001,213.676
1003,1001,213.463
1004,1001,213.25
1005,1001,213.038
1006,1001,212.826
1007,1001,212.615
1008,1001,212.404
1009,1001,212.193
1010,1001,211.983
1011,1001,211.773
1012,1001,211.564
1013,1001,211.355
1014,1001,211.147
1015,1001,210.939
1016,1001,210.731
1017,1001,210.524
1018,1001,210.317
1019,1001,210.111
1020,1001,209.905
1021,1001,209.699
1022,1001,209.494
1023,1001,209.289
1024,1001,209.085
1025,1001,208.881
1026,1001,208.677
1027,1001,208.474
1028,1001,208.271
1029,1001,208.069
1030,1001,207.867
1031,1001,207.665
1032,1001,207.464
1033,1001,207.263
1034,1001,207.063
1035,1001,206.863
1036,1001,206.663
1037,1001,206.464
1038,1001,206.265
1039,1001,206.066
1040,1001,205.868
1041,1001,205.671
1042,1001,205.473
1043,1001,205.276
1044,1001,205.08
1045,1001,204.883
1046,1001,204.687
1047,1001,204.492
1048,1001,204.297
1049,1001,204.102
1050,1001,203.908
1051,1001,203.714
1052,1001,203.52
1053,1001,203.327
1054,1001,203.134
1055,1001,202.941
1056,1001,202.749
1057,1001,202.557
1058,1000,202.366
1059,1000,202.175
1060,1000,201.984
1061,1000,201.794
1062,1000,201.604
1063,1000,201.414
1064,1000,201.225
1065,1000,201.036
1066,1000,200.847
1067,1000,200.659
1068,1000,200.471
1069,1000,200.283
1070,1000,200.096
1071,1000,199.909
1072,1000,199.723
1073,1000,199.537
1074,1000,199.351
1075,1000,199.166
1076,1000,198.98
